year_month,Beef,Turkey
1988-02,,0.66
1988-03,,0.65
1988-04,,0.63
1988-05,,0.61
1988-06,,0.62
1988-07,,0.62
1988-09,,0.65
1988-10,,0.65
1988-11,,0.66
1988-12,,0.64
1989-01,,0.66
1989-03,,0.64
1989-04,,0.66
1989-05,,0.67
1989-06,,0.67
1989-07,,0.68
1989-08,,0.67
1989-09,,0.67
1989-10,,0.67
1989-11,,0.65
1989-12,,0.64
1990-01,,0.67
1990-02,,0.68
1990-03,,0.68
1990-04,,0.67
1990-05,,0.68
1990-06,,0.72
1990-07,,0.72
1990-08,,0.72
1990-09,,0.75
1990-10,,0.74
1990-11,,0.75
1990-12,,0.69
1991-01,,0.75
1991-02,,0.74
1991-03,,0.74
1991-04,,0.75
1991-05,,0.75
1991-06,,0.75
1991-07,,0.76
1991-08,,0.78
1991-09,,0.77
1991-10,,0.78
1991-11,,0.76
1991-12,,0.67
1992-01,,0.76
1992-02,,0.76
1992-03,,0.76
1992-04,,0.63
1992-05,,0.76
1992-06,,0.76
1992-07,,0.76
1992-08,,0.76
1992-09,,0.76
1992-10,,0.76
1992-11,,0.76
1992-12,,0.64
1993-01,,0.76
1993-02,,0.76
1993-03,,0.74
1993-04,,0.76
1993-05,,0.76
1993-06,,0.76
1993-07,,0.76
1993-08,,0.76
1993-09,,0.76
1993-10,,0.76
1993-11,,0.70
1993-12,,0.65
1994-01,,0.76
1994-02,,0.79
1994-03,,0.79
1994-04,,0.79
1994-05,,0.79
1994-06,,0.79
1994-07,,0.79
1994-08,,0.79
1994-09,,0.79
1994-10,,0.80
1994-11,,0.66
1994-12,,0.61
1995-01,,0.79
1995-02,,0.80
1995-03,,0.81
1995-04,,0.56
1995-05,,0.79
1995-06,,0.79
1995-07,,0.79
1995-08,,0.79
1995-09,,0.79
1995-10,,0.70
1995-11,,0.49
1995-12,,0.45
1996-01,,0.79
1996-02,,1.74
1996-03,,1.74
1996-04,,1.74
1996-05,,1.74
1996-06,,1.75
1996-07,,1.77
1996-08,,1.75
1996-09,,1.75
1996-10,,1.75
1996-11,,1.76
1996-12,,0.86
1997-01,,1.74
1997-02,,1.74
1997-03,,1.25
1997-04,,1.74
1997-05,,1.74
1997-06,,1.74
1997-07,,1.74
1997-08,,1.95
1997-09,,2.17
1997-10,,1.87
1997-11,,1.74
1997-12,,1.08
1998-01,,2.18
1998-02,,2.18
1998-03,,1.74
1998-04,,2.09
1998-05,,2.18
1998-06,,2.18
1998-07,,2.18
1998-08,,2.18
1998-09,,2.06
1998-10,,1.73
1998-11,,1.41
1998-12,,1.41
1999-01,,2.60
1999-02,,1.85
1999-03,,1.49
1999-04,,2.29
1999-05,,1.85
1999-06,,2.60
1999-07,,2.60
1999-08,,2.60
1999-09,,2.60
1999-10,,2.06
1999-11,,1.37
1999-12,,1.30
2000-01,,1.74
2000-02,,2.60
2000-03,,1.78
2000-04,,1.34
2000-05,,2.60
2000-06,,2.60
2000-07,,2.60
2000-08,,2.60
2000-09,,2.60
2000-10,,2.58
2000-11,,1.38
2000-12,,1.30
2001-01,,2.60
2001-02,,2.60
2001-03,,2.60
2001-04,,1.30
2001-05,,2.60
2001-06,,2.60
2001-07,,2.60
2001-08,,2.61
2001-09,,2.60
2001-10,,2.60
2001-11,,2.40
2001-12,,1.41
2002-01,,1.45
2002-02,,2.67
2002-03,,2.58
2002-04,,1.48
2002-05,,2.58
2002-06,,2.60
2002-07,,2.60
2002-08,,2.60
2002-09,,2.64
2002-10,,2.60
2002-11,,1.41
2002-12,,1.30
2003-01,,1.55
2003-02,,2.69
2003-03,,2.60
2003-04,,1.45
2003-11,,1.41
2003-12,,1.40
2004-01,,2.60
2020-02,11.33,
2020-03,11.5,
2020-04,11.99,
2020-05,11.25,
2020-06,11.5,
2020-07,11.5,
2020-08,12,
2020-09,12,
2020-10,11.5,
2020-11,12,
2020-12,11.5,
2021-01,12,
2021-02,12,
2021-03,12,
2021-04,12,
2021-05,12,
2021-06,11.41,
2021-07,12,
2021-08,12,
2021-09,12,
2021-10,12,
2021-11,12,
2021-12,12,
2022-01,12,
2022-02,12,
2022-03,12,
2022-04,12,
2022-05,2.495,
2022-06,12.5,
2022-07,12.5,
2022-08,12.5,
2022-09,12.99,
2022-10,12.865,
2022-11,13,
2022-12,13,
2023-01,13.1,
2023-02,13.105,
2023-03,13,
2023-04,13.215,
2023-05,13,
2023-06,13,
2023-07,12.995,
2023-08,13,
2023-09,13.415,
2023-10,13,
2023-11,13,
2023-12,13.75,
2024-01,13.405,
2024-02,13,
2024-03,13,
2024-04,13.49,
2024-05,13.75,
2024-06,13.8,
2024-07,13,
2024-08,13.75,
2024-09,13.99,
