Year,Rolling_Corr_GOLD_BTC,Rolling_Corr_VIX_BTC
2015,-0.5013185913792627,-0.18264366483003125
2016,-0.0280047880278364,0.12385556119267964
2017,0.1544726664938305,-0.11045818044530104
2018,-0.06194630400553863,-0.30523994430358475
2019,0.0656100418610693,0.02351548952782842
2020,0.3693009055867999,-0.47394923474907197
2021,-0.25256512806797016,-0.17835160864753863
2022,0.25785584023456526,-0.3770476957318188
2023,0.38285644639802835,-0.21763699521202182
2024,0.29684494874442824,-0.11305806290011045
